//X	Y	Z	Scalar field
4157066.90200043	671316.64229965	4774764.08300018	546536768.000000
4157066.98400116	671316.49920082	4774764.03099823	546736768.000000
4157067.06800079	671316.35650063	4774763.96500015	546936704.000000
4157067.16400146	671316.21559906	4774763.92900085	547136704.000000
4157067.23500061	671316.05590057	4774763.86299896	547336704.000000
4157067.33000183	671315.89249992	4774763.80400085	547536704.000000
4157067.41400146	671315.73490047	4774763.75299835	547736768.000000
4157067.51599884	671315.57999992	4774763.68700027	547936640.000000
4157067.61000061	671315.42409992	4774763.61299896	548136704.000000
4157067.67299652	671315.24059963	4774763.53200150	548336704.000000
4157067.78399658	671315.07260036	4774763.45800018	548536704.000000
4157067.86900330	671314.89999962	4774763.36999893	548736768.000000
4157067.98600006	671314.72550011	4774763.31900024	548936704.000000
4157068.09700012	671314.56470013	4774763.24599838	549136704.000000
4157068.17800140	671314.39910030	4774763.17200089	549336704.000000
4157068.26999664	671314.25020027	4774763.11399841	549536704.000000
4157068.32599640	671314.11769962	4774763.01699829	549736768.000000
4157068.41699982	671313.98359966	4774762.94400024	549936640.000000
4157068.52600098	671313.87460041	4774762.87799835	550136704.000000
4157068.60600281	671313.74610043	4774762.82699966	550336704.000000
4157068.69300079	671313.62619972	4774762.76800156	550536704.000000
4157068.77400208	671313.50520039	4774762.70199966	550736768.000000
4157068.87300110	671313.39459991	4774762.65800095	550936704.000000
4157068.98000336	671313.27779961	4774762.62200165	551136704.000000
4157069.05899811	671313.16409969	4774762.55599976	551336704.000000
4157069.13999939	671313.05070019	4774762.47499847	551536704.000000
4157069.23200226	671312.95380020	4774762.40900040	551736768.000000
4157069.35099792	671312.87629986	4774762.34400177	551936704.000000
4157069.47200012	671312.79899979	4774762.26300049	552136704.000000
4157069.58599854	671312.73550034	4774762.15999985	552336704.000000
4157069.67900085	671312.64630032	4774762.01300049	552536704.000000
4157069.79399872	671312.57549953	4774761.90999985	552736768.000000
4157069.92900085	671312.48560047	4774761.79299927	552936704.000000
4157070.07599640	671312.38290024	4774761.65299988	553136704.000000
4157070.19000244	671312.29710007	4774761.51300049	553336704.000000
4157070.31800079	671312.21339989	4774761.38800049	553536704.000000
4157070.44799805	671312.10799980	4774761.26300049	553736768.000000
4157070.58999634	671311.99689960	4774761.11600113	553936704.000000
4157070.73600006	671311.90139961	4774760.97600174	554136704.000000
4157070.91300201	671311.79580021	4774760.85200119	554336704.000000
4157071.06700134	671311.69410038	4774760.72000122	554536704.000000
4157071.21499634	671311.61390018	4774760.60200119	554736768.000000
4157071.33899689	671311.52970028	4774760.43999863	554936704.000000
4157071.48699951	671311.46430016	4774760.30799866	555136704.000000
4157071.61499786	671311.38059998	4774760.18299866	555336704.000000
4157071.78900146	671311.30459976	4774760.09600067	555536704.000000
4157071.93499756	671311.23130035	4774759.99399948	555736768.000000
4157072.08300018	671311.15110016	4774759.87599945	555936704.000000
4157072.22699738	671311.07750034	4774759.78900146	556136704.000000
4157072.36799622	671311.03330040	4774759.68600082	556336704.000000
4157072.48400116	671310.95520020	4774759.58399963	556536704.000000
4157072.59999847	671310.89200020	4774759.46599960	556736768.000000
4157072.74500275	671310.84099960	4774759.40100098	556936640.000000
4157072.87000275	671310.77180004	4774759.27600098	557136704.000000
4157072.99299622	671310.73219967	4774759.18799973	557336704.000000
4157073.11000061	671310.69149971	4774759.09299850	557536704.000000
4157073.24500275	671310.63889980	4774758.98300171	557736768.000000
4157073.39499664	671310.55140018	4774758.86600113	557936704.000000
4157073.57900238	671310.49180031	4774758.74200058	558136640.000000
4157073.75599670	671310.43109989	4774758.61000061	558336640.000000
4157073.93599701	671310.35589981	4774758.47800064	558536704.000000
4157074.12400055	671310.29689980	4774758.32400131	558736768.000000
4157074.29199982	671310.23460007	4774758.14799881	558936640.000000
4157074.47200012	671310.19680023	4774758.02399826	559136704.000000
4157074.61799622	671310.16079998	4774757.92900085	559336640.000000
4157074.74900055	671310.11499977	4774757.84799957	559536704.000000
4157074.89399719	671310.08629990	4774757.75400162	559736768.000000
4157075.02300262	671310.05490017	4774757.67300034	559936640.000000
4157075.14700317	671310.00800037	4774757.58599854	560136704.000000
4157075.29000092	671309.97150040	4774757.52000046	560336640.000000
4157075.39199829	671309.92840004	4774757.42499924	560536704.000000
4157075.52899933	671309.88360023	4774757.35200119	560736768.000000
4157075.64600372	671309.84290028	4774757.25699997	560936704.000000
4157075.78600311	671309.80589962	4774757.15499878	561136768.000000
4157075.93299866	671309.77750015	4774757.04499817	561336704.000000
4157076.07700348	671309.75609970	4774756.95000076	561536704.000000
4157076.22899628	671309.73600006	4774756.84799957	561736768.000000
4157076.38999939	671309.71000004	4774756.73799896	561936640.000000
4157076.55200195	671309.68400002	4774756.62900162	562136704.000000
4157076.71399689	671309.65799999	4774756.51900101	562336704.000000
4157076.85500336	671309.61369991	4774756.41699982	562536704.000000
4157077.00399780	671309.57079983	4774756.30699921	562736768.000000
4157077.14499664	671309.52659988	4774756.20500183	562936704.000000
4157077.30599976	671309.47080040	4774756.07300186	563136704.000000
4157077.47499847	671309.42350006	4774755.93399811	563336704.000000
4157077.63600159	671309.36769962	4774755.80199814	563536704.000000
4157077.75299835	671309.31960011	4774755.65399933	563736768.000000
4157077.91000366	671309.27799988	4774755.53699875	563936640.000000
4157078.06700134	671309.24370003	4774755.41999817	564136704.000000
4157078.21800232	671309.20100021	4774755.29600143	564336704.000000
4157078.36900330	671309.15839958	4774755.17100143	564536704.000000
4157078.52500153	671309.12409973	4774755.05400085	564736768.000000
4157078.66799927	671309.08769989	4774754.92200089	564936640.000000
4157078.78800201	671309.04749966	4774754.79700089	565136704.000000
4157078.92800140	671309.03289986	4774754.66500092	565336704.000000
4157079.05999756	671309.00209999	4774754.55500031	565536704.000000
4157079.17700195	671308.96889973	4774754.44499969	565736768.000000
4157079.30100250	671308.90699959	4774754.31999969	565936640.000000
4157079.42800140	671308.86789989	4774754.20199966	566136640.000000
4157079.57800293	671308.81770039	4774754.09299850	566336704.000000
4157079.73300171	671308.79069996	4774753.97600174	566536704.000000
4157079.88300323	671308.74779987	4774753.86600113	566736768.000000
